DATE,AAA,BAA,DGS30,MORTGAGE30US,aaa_baa_spread,mortgage_treasury_spread
1977-02-28,8.04,9.12,7.754444444444443,8.67,1.08,0.9155555555555566
1977-03-31,8.1,9.12,7.796086956521739,8.6875,1.0199999999999996,0.891413043478261
1977-04-30,8.04,9.07,7.7345,8.751999999999999,1.0300000000000011,1.0174999999999992
1977-05-31,8.05,9.01,7.798095238095238,8.8275,0.9599999999999991,1.0294047619047628
1977-06-30,7.95,8.91,7.635909090909092,8.8575,0.96,1.2215909090909083
1977-07-31,7.94,8.87,7.644736842105263,8.941999999999998,0.9299999999999988,1.2972631578947356
1977-08-31,7.98,8.82,7.683478260869565,8.94,0.8399999999999999,1.2565217391304344
1977-09-30,7.92,8.8,7.643333333333333,8.896,0.8800000000000008,1.2526666666666681
1977-10-31,8.04,8.89,7.774500000000001,8.9225,0.8500000000000014,1.1479999999999988
1977-11-30,8.08,8.95,7.846842105263158,8.9225,0.8699999999999992,1.0756578947368416
1977-12-31,8.19,8.99,7.940476190476191,8.959999999999999,0.8000000000000007,1.0195238095238084
1978-01-31,8.41,9.17,8.17952380952381,9.015,0.7599999999999998,0.8354761904761911
1978-02-28,8.47,9.2,8.254444444444445,9.145,0.7299999999999986,0.8905555555555544
1978-03-31,8.47,9.22,8.23409090909091,9.202000000000002,0.75,0.9679090909090924
1978-04-30,8.56,9.32,8.34,9.355,0.7599999999999998,1.0150000000000006
1978-05-31,8.69,9.49,8.434761904761904,9.5725,0.8000000000000007,1.1377380952380953
1978-06-30,8.76,9.6,8.500454545454545,9.708,0.8399999999999999,1.2075454545454551
1978-07-31,8.88,9.6,8.6495,9.74,0.7199999999999989,1.0905000000000005
1978-08-31,8.69,9.48,8.473478260869564,9.785,0.7900000000000009,1.311521739130436
1978-09-30,8.69,9.42,8.471,9.756,0.7300000000000004,1.2850000000000001
1978-10-31,8.89,9.59,8.66904761904762,9.8575,0.6999999999999993,1.1884523809523806
1978-11-30,9.03,9.83,8.7515,10.1075,0.8000000000000007,1.3559999999999999
1978-12-31,9.16,9.94,8.8845,10.346,0.7799999999999994,1.461500000000001
1979-01-31,9.25,10.13,8.93818181818182,10.39,0.8800000000000008,1.4518181818181812
1979-02-28,9.26,10.08,9.000555555555556,10.4075,0.8200000000000003,1.406944444444445
1979-03-31,9.37,10.26,9.030909090909091,10.425999999999998,0.8900000000000006,1.3950909090909072
1979-04-30,9.38,10.33,9.0845,10.4975,0.9499999999999993,1.4130000000000003
1979-05-31,9.5,10.47,9.193333333333333,10.69,0.9700000000000006,1.4966666666666661
1979-06-30,9.29,10.38,8.923333333333332,11.036,1.0900000000000016,2.1126666666666676
1979-07-31,9.2,10.29,8.931904761904761,11.092500000000001,1.0899999999999999,2.1605952380952402
1979-08-31,9.23,10.35,8.977826086956522,11.094,1.1199999999999992,2.116173913043477
1979-09-30,9.44,10.54,9.168947368421053,11.3,1.0999999999999996,2.1310526315789478
1979-10-31,10.13,11.4,9.847727272727273,11.6375,1.2699999999999996,1.7897727272727266
1979-11-30,10.76,11.99,10.300526315789474,12.830000000000002,1.2300000000000004,2.5294736842105277
1979-12-31,10.74,12.06,10.123999999999999,12.9,1.3200000000000003,2.7760000000000016
1980-01-31,11.09,12.42,10.595,12.8775,1.33,2.282499999999999
1980-02-29,12.38,13.57,12.133157894736842,13.040000000000001,1.1899999999999995,0.9068421052631592
1980-03-31,12.96,14.45,12.33904761904762,15.2825,1.4899999999999984,2.9434523809523814
1980-04-30,12.04,14.19,11.4,16.325000000000003,2.1500000000000004,4.9250000000000025
1980-05-31,10.99,13.17,10.361428571428572,14.262,2.1799999999999997,3.9005714285714284
1980-06-30,10.58,12.71,9.813333333333333,12.71,2.130000000000001,2.8966666666666683
1980-07-31,11.07,12.65,10.238636363636363,12.192499999999999,1.58,1.9538636363636357
1980-08-31,11.64,13.15,11.00095238095238,12.559999999999999,1.5099999999999998,1.5590476190476181
1980-09-30,12.02,13.7,11.33952380952381,13.1975,1.6799999999999997,1.8579761904761902
1980-10-31,12.31,14.23,11.585909090909091,13.791999999999998,1.92,2.206090909090907
1980-11-30,12.97,14.64,12.369411764705882,14.205,1.67,1.835588235294118
1980-12-31,13.21,15.14,12.395454545454545,14.79,1.9299999999999997,2.3945454545454545
1981-01-31,12.81,15.03,12.142857142857142,14.904,2.219999999999999,2.7611428571428576
1981-02-28,13.35,15.37,12.802222222222222,15.1325,2.0199999999999996,2.330277777777779
1981-03-31,13.33,15.34,12.68590909090909,15.4,2.01,2.7140909090909098
1981-04-30,13.88,15.56,13.196190476190477,15.58,1.6799999999999997,2.383809523809523
1981-05-31,14.32,15.95,13.602500000000001,16.402,1.629999999999999,2.7995
1981-06-30,13.75,15.8,12.960454545454546,16.695,2.0500000000000007,3.7345454545454544
1981-07-31,14.38,16.17,13.588636363636363,16.832,1.790000000000001,3.243363636363638
1981-08-31,14.89,16.34,14.167619047619047,17.285,1.4499999999999993,3.1173809523809535
1981-09-30,15.49,16.92,14.666666666666666,18.16,1.4300000000000015,3.493333333333334
1981-10-31,15.4,17.11,14.684285714285714,18.454,1.709999999999999,3.7697142857142865
1981-11-30,14.22,16.39,13.352777777777778,17.825,2.17,4.472222222222221
1981-12-31,14.23,16.55,13.454545454545455,16.945999999999998,2.3200000000000003,3.491454545454543
1982-01-31,15.18,17.1,14.224,17.485,1.9200000000000017,3.2609999999999992
1982-02-28,15.27,17.18,14.219444444444443,17.5975,1.9100000000000001,3.378055555555557
1982-03-31,14.58,16.82,13.533043478260868,17.16,2.24,3.6269565217391317
1982-04-30,14.46,16.78,13.367142857142856,16.892,2.3200000000000003,3.524857142857144
1982-05-31,14.26,16.64,13.242500000000001,16.677500000000002,2.380000000000001,3.4350000000000005
1982-06-30,14.81,16.92,13.923636363636364,16.697499999999998,2.110000000000001,2.773863636363634
1982-07-31,14.61,16.8,13.550952380952381,16.816,2.1900000000000013,3.2650476190476176
1982-08-31,13.71,16.32,12.767727272727273,16.27,2.6099999999999994,3.502272727272727
1982-09-30,12.94,15.63,12.065714285714286,15.43,2.6900000000000013,3.364285714285714
1982-10-31,12.12,14.73,11.168,14.608,2.610000000000001,3.4400000000000013
1982-11-30,11.68,14.3,10.542105263157895,13.825,2.620000000000001,3.2828947368421044
1982-12-31,11.83,14.14,10.539090909090909,13.624,2.3100000000000005,3.0849090909090915
1983-01-31,11.79,13.94,10.630476190476191,13.2475,2.1500000000000004,2.6170238095238094
1983-02-28,12.01,13.95,10.880526315789472,13.0425,1.9399999999999995,2.161973684210528
1983-03-31,11.73,13.61,10.63304347826087,12.8,1.879999999999999,2.166956521739131
1983-04-30,11.51,13.29,10.477,12.782,1.7799999999999994,2.3049999999999997
1983-05-31,11.46,13.09,10.528095238095238,12.6325,1.629999999999999,2.104404761904762
1983-06-30,11.74,13.37,10.932727272727274,12.870000000000001,1.629999999999999,1.9372727272727275
1983-07-31,12.15,13.39,11.395,13.422,1.2400000000000002,2.027000000000001
1983-08-31,12.51,13.64,11.816086956521739,13.81,1.1300000000000008,1.993913043478262
1983-09-30,12.37,13.55,11.633333333333335,13.725999999999999,1.1800000000000015,2.0926666666666645
1983-10-31,12.25,13.46,11.577,13.535,1.2100000000000009,1.9580000000000002
1983-11-30,12.41,13.61,11.74578947368421,13.435,1.1999999999999993,1.6892105263157902
1983-12-31,12.57,13.75,11.881428571428572,13.419999999999998,1.1799999999999997,1.5385714285714265
1984-01-31,12.2,13.65,11.75095238095238,13.3675,1.450000000000001,1.6165476190476191
1984-02-29,12.08,13.59,11.949473684210526,13.2325,1.5099999999999998,1.2830263157894741
1984-03-31,12.57,13.99,12.383636363636363,13.386000000000001,1.42,1.0023636363636381
1984-04-30,12.81,14.31,12.6495,13.6525,1.5,1.0030000000000001
1984-05-31,13.28,14.74,13.42590909090909,13.942499999999999,1.4600000000000009,0.5165909090909082
1984-06-30,13.55,15.05,13.439523809523811,14.416,1.5,0.9764761904761894
1984-07-31,13.44,15.15,13.210952380952381,14.6675,1.7100000000000009,1.456547619047619
1984-08-31,12.87,14.63,12.539565217391305,14.469999999999999,1.7600000000000016,1.9304347826086943
1984-09-30,12.66,14.35,12.293157894736842,14.35,1.6899999999999995,2.056842105263158
1984-10-31,12.63,13.94,11.983181818181817,14.129999999999999,1.3099999999999987,2.1468181818181815
1984-11-30,12.29,13.48,11.560526315789474,13.638,1.1900000000000013,2.077473684210526
1984-12-31,12.13,13.4,11.5175,13.18,1.2699999999999996,1.6624999999999996
1985-01-31,12.08,13.26,11.452857142857143,13.075,1.1799999999999997,1.6221428571428564
1985-02-28,12.13,13.23,11.47,12.92,1.0999999999999996,1.4499999999999993
1985-03-31,12.56,13.69,11.812857142857142,13.169999999999998,1.129999999999999,1.3571428571428559
1985-04-30,12.23,13.51,11.46809523809524,13.195,1.2799999999999994,1.7269047619047608
1985-05-31,11.72,13.15,11.04590909090909,12.913999999999998,1.4299999999999997,1.868090909090908
1985-06-30,10.94,12.4,10.445,12.215,1.4600000000000009,1.7699999999999996
1985-07-31,10.97,12.43,10.496363636363636,12.032499999999999,1.459999999999999,1.5361363636363627
1985-08-31,11.05,12.5,10.559545454545455,12.186,1.4499999999999993,1.6264545454545445
1985-09-30,11.07,12.48,10.611052631578948,12.1925,1.4100000000000001,1.5814473684210526
1985-10-31,11.02,12.36,10.500909090909092,12.135,1.3399999999999999,1.634090909090908
1985-11-30,10.55,11.99,10.061578947368421,11.784,1.4399999999999995,1.7224210526315797
1985-12-31,10.16,11.58,9.537142857142857,11.26,1.42,1.7228571428571424
1986-01-31,10.05,11.44,9.396190476190476,10.886,1.3899999999999988,1.489809523809523
1986-02-28,9.67,11.11,8.928947368421053,10.71,1.4399999999999995,1.781052631578948
1986-03-31,9.0,10.5,7.9595,10.08,1.5,2.1205
1986-04-30,8.79,10.19,7.386363636363637,9.9375,1.4000000000000004,2.5511363636363633
1986-05-31,9.09,10.29,7.517142857142858,10.144,1.1999999999999993,2.6268571428571423
1986-06-30,9.13,10.34,7.573333333333333,10.6825,1.209999999999999,3.109166666666666
1986-07-31,8.88,10.16,7.272272727272727,10.5075,1.2799999999999994,3.235227272727273
